Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Otakwa,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,FuroSantaMaria,CaeteRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
,6.242188842,,,,,,,,,,,,,,,,,,,,,,4.8,0.828281715,,,,
,6.939880416,,,,,,,,,,,,,,,,,,,,,,6.32454,0.871589896,,,,
,9.571160808,,,,,,,,,,,,,,,,,,,,,,6.55497,0.918737436,,,,
,21.71016364,,,,,,,,,,,,,,,,,,,,,,11.88,1,,,,
,39.23452969,,,,,,,,,,,,,,,,,,,,,,19.99888542,1.082321643,,,,
,1150.299704,,,,,,,,,,,,,,,,,,,,,,26,1.117002973,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.53183,1.340517994,,,,
,,,,,,,,,,,,,,,,,,,,,,,40.64189,1.532030329,,,,
,,,,,,,,,,,,,,,,,,,,,,,46.22003451,2.188578452,,,,
,,,,,,,,,,,,,,,,,,,,,,,53.95405,3.030065726,,,,
,,,,,,,,,,,,,,,,,,,,,,,53.95405,3.27081,,,,
,,,,,,,,,,,,,,,,,,,,,,,73.38140621,3.922317946,,,,
,,,,,,,,,,,,,,,,,,,,,,,83.94309,4.57045225,,,,
,,,,,,,,,,,,,,,,,,,,,,,883.39781,4.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.32454,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.55497,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,26,,,,
,,,,,,,,,,,,,,,,,,,,,,,,29.53183,,,,
,,,,,,,,,,,,,,,,,,,,,,,,46.22003451,,,,
,,,,,,,,,,,,,,,,,,,,,,,,53.95405,,,,
,,,,,,,,,,,,,,,,,,,,,,,,73.38140621,,,,
,,,,,,,,,,,,,,,,,,,,,,,,83.94309,,,,
