AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,FuroSantaMaria,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Morawhanna,Taman,TanaRiver
0.012,0.05222,,0.33985,1.106665658,0.05488,0.206563947,0.0712,0.035657357,31.79871,400.2034981,0.053943712
0.012426268,0.057,,0.340121195,1.13475,0.0601,0.228192923,0.07129,0.039573781,35.28376647,806.1006979,0.054956817
0.013016082,0.0605,,0.353744275,1.722565965,0.065116982,0.24318,0.073792132,0.04042,78.31590231,1150.299704,0.05587
0.013677565,0.062492741,,0.384761122,1.803445436,0.06724,0.24836,0.078310934,0.044250933,,,0.058666951
0.013731174,0.06649,,0.38967372,2.428456575,0.075473434,0.25152187,0.084856742,0.047579601,,,0.06380393
0.013913323,0.069503648,,0.39866,2.44181,0.076787214,0.252927059,0.10694266,0.062501232,,,0.06380393
0.014301787,0.071267129,,0.418506407,3.27081,0.08281,0.275434973,0.10694266,0.07,,,0.066518964
0.015527854,0.0734,,0.42581,3.472317875,0.0856,0.33288,0.10694266,0.07009,,,0.080015473
0.0175,0.0734,,0.4698665,3.8,0.09005,0.38659892,0.10694266,0.07129,,,0.089706049
0.018241877,0.07884,,0.51584565,4.13499,0.092820147,0.433872056,0.117178024,0.073792132,,,0.0958
0.020422081,0.085499859,,0.54056,4.13636,0.09539,0.471795117,0.12076,0.078310934,,,0.09599
0.02223073,0.089,,0.74947,4.434010457,0.101465499,0.52096,0.123642655,0.09021863,,,0.103357494
0.02223073,0.098836648,,0.828281715,4.49249,0.103302245,0.521359018,0.149312452,0.105092827,,,0.1043
0.022750749,0.098836648,,0.871589896,4.57045225,0.105092827,0.523194433,0.1575,0.10694266,,,0.105678505
0.022757955,0.101194927,,0.918737436,4.8,0.117178024,0.63043,0.168245748,0.10694266,,,0.105936994
0.02305,0.10228,,0.95487,5.74166,0.117219537,0.66584,0.185511054,0.10694266,,,0.117219537
0.02356,0.1057687,,0.97433,6.15791,0.12076,0.717116027,0.20089,0.117178024,,,0.117696449
0.024094781,0.107406796,,1.016949696,6.32454,0.132425943,0.885966756,0.215059013,0.12076,,,0.123
0.024168143,0.110047119,,1.03047,6.6465,0.147342201,1.28,0.217429639,0.123642655,,,0.12707
0.025114427,0.112690354,,1.082321643,6.875,0.149312452,1.600789555,0.221120956,0.147481518,,,0.132678218
0.025201143,0.114,,1.117002973,6.93172,0.15175,2.610962606,0.228192923,0.1575,,,0.13813151
0.026420518,0.120207737,,1.13475,8.220684806,0.156302009,2.62301,0.236290414,0.158819803,,,0.143639842
0.027329601,0.120207737,,1.245615257,16.63317,0.161226198,2.756084826,0.252348077,0.16929,,,0.14735
0.027807273,0.13352018,,1.387498697,20.54686,0.163493069,2.756084826,0.252348077,0.184497846,,,0.150314197
0.028818181,0.139159931,,1.66719,21.13369,0.179156303,2.756084826,0.252348077,0.185511054,,,0.150314197
0.03234,0.141817515,,1.803445436,29.53183,0.188166198,2.882989031,0.252348077,0.19265,,,0.164261068
0.03524,0.147154249,,1.9,32.22328853,0.215059013,3.00208,0.252348077,0.20089,,,0.170867252
0.03873,0.168655303,,2.363384631,35.28376647,0.222063538,3.44488,0.252348077,0.215059013,,,0.176788057
0.038885955,0.168845588,,2.75838,53.95405,0.223305376,3.57827,0.283791903,0.228192923,,,0.186226373
0.039573781,0.174271172,,2.78764,883.39781,0.228192923,3.60016,0.297492816,0.236290414,,,0.19196
0.039839508,0.175,,2.96727,,0.239563731,4.89605,0.327937141,0.252348077,,,0.2152
0.04042,0.176460849,,3.00999,,0.252348077,5.25691,0.358109679,0.252348077,,,0.219384587
0.044250933,0.17734,,3.27081,,0.252348077,7.29307,0.391371556,0.252348077,,,0.225646331
0.0452,0.178224527,,3.922317946,,0.252348077,7.41871,0.407256582,0.283791903,,,0.228192923
0.047579601,0.179554264,,3.94901,,0.300695682,9.05532,0.41341,0.286864233,,,0.25
0.053019248,0.1796008,,4.13499,,0.317418469,10.39249,0.415337939,0.297492816,,,0.251402907
0.055871925,0.180889992,,4.3758,,0.327937141,10.95580708,0.47092,0.300695682,,,0.252348077
0.059848462,0.18538581,,4.434010457,,0.333417396,18.76163851,0.474527787,0.317418469,,,0.28183
0.07038,0.186226373,,4.8,,0.386564906,23.74741572,0.544139158,0.358109679,,,0.286864233
0.07129,0.201100259,,5.74166,,0.391371556,29.39785892,0.549540874,0.391371556,,,0.315089693
0.073792132,0.203084099,,6.32454,,0.41341,32.9997,0.567192111,0.41341,,,0.31696
0.073792132,0.204843879,,6.39831,,0.43747851,45,0.5735286,0.415337939,,,0.33288
0.075280967,0.218752403,,6.55497,,0.443777144,50.51750033,0.62617,0.42223659,,,0.36537
0.07953,0.228192923,,6.93172,,0.455869139,52.39999,0.64442,0.436941326,,,0.38659892
0.084856742,0.24647,,7.499035767,,0.45602,62.0066,0.669655841,0.47092,,,0.386880972
0.09021863,0.2488,,16.63317,,0.474422974,70.00031,0.681263559,0.53425,,,0.388353469
0.09399,0.251140895,,19.99888542,,0.480839348,75.55425,0.782198174,0.544139158,,,0.388353469
0.09502,0.26395,,21.13369,,0.5105,111.95371,0.82476,0.549540874,,,0.471795117
0.105092827,0.267795725,,26,,0.52666,112.58899,0.842333075,0.567192111,,,0.48463
0.10694266,0.267795725,,29.53183,,0.54207,190.0987484,0.867783098,0.62617,,,0.54383
0.10694266,0.298608391,,31.79871,,0.567192111,204.39348,0.89522,0.64442,,,0.558919186
0.12076,0.31403,,35.28376647,,0.5735286,591.3955721,0.911477144,0.681263559,,,0.566007872
0.123642655,0.330952124,,48.14491,,0.60348,592.66598,1.05148,0.71649,,,0.566007872
0.14648,0.33985,,73.38140621,,0.62617,1536.3104,1.152032455,0.72026,,,0.598074648
0.147481518,0.340121195,,,,0.63916,4750.00001,1.338379266,0.782198174,,,0.669655841
0.163493069,0.341663693,,,,0.64442,,1.338379266,0.82476,,,0.717116027
0.168245748,0.350929995,,,,0.666806769,,1.338379266,0.842333075,,,0.789084908
0.17502,0.353744275,,,,0.669655841,,1.50577,0.867783098,,,0.81117
0.19265,0.36377,,,,0.681263559,,1.603692998,0.89522,,,0.965457752
0.221120956,0.384761122,,,,0.74538,,1.694475996,0.911477144,,,1.72213
0.228192923,0.38967372,,,,0.78485,,1.79921,1.05148,,,1.75617
0.229100749,0.39866,,,,0.82516,,2.130027625,1.338379266,,,1.95
0.252348077,0.418506407,,,,0.867783098,,2.130027625,1.338379266,,,1.993373884
0.252348077,0.42581,,,,1.05148,,2.68539,1.338379266,,,2.04711
0.283791903,0.4698665,,,,1.123,,2.880539228,1.50577,,,2.290032263
0.285980175,0.47159309,,,,1.152032455,,2.880539228,1.59057,,,2.405106273
0.285980175,0.496790885,,,,1.338379266,,3.015814667,1.603692998,,,2.45366
0.297492816,0.51584565,,,,1.338379266,,3.495326036,1.694475996,,,2.756084826
0.300695682,0.54056,,,,1.338379266,,4.352006737,1.7475,,,3.122264779
0.312569834,0.555454227,,,,1.7475,,4.49997,1.758485332,,,3.42447
0.317418469,0.557489413,,,,1.76408,,4.51147,2.055992779,,,3.60016
0.327937141,0.60999,,,,1.82088,,4.665504805,2.130027625,,,3.6284
0.358109679,0.72894123,,,,1.975303435,,4.954618261,2.55031612,,,3.69599
0.391371556,0.74947,,,,1.99043,,5.356414043,2.68539,,,4.09812
0.391371556,0.828281715,,,,2.4875,,6.067444033,2.82101,,,4.57308
0.391371556,0.871589896,,,,2.78054,,6.242188842,2.880539228,,,4.8334
0.391371556,0.918737436,,,,3.015814667,,6.939880416,3.015814667,,,4.89605
0.415337939,0.95487,,,,3.454073295,,9.571160808,3.454073295,,,5.04129
0.436941326,0.97433,,,,4.06046,,10.12338067,3.495326036,,,5.63901
0.47092,1.03047,,,,4.352006737,,11.81575,4.06046,,,7.07766
0.474527787,1.106665658,,,,5.852720963,,14.99995,4.352006737,,,8.03075
0.544139158,1.13475,,,,8.95171,,21.71016364,4.49997,,,8.2473
0.549540874,1.245615257,,,,10.12338067,,25.97892,4.51147,,,8.99999
0.567192111,1.340517994,,,,10.43511191,,39.23452969,4.665504805,,,9.24995
0.62617,1.365424355,,,,14.98546505,,66.3755,4.75,,,9.995929559
0.681263559,1.387498697,,,,160.2577315,,1150.299704,4.954618261,,,11.66153
0.71649,1.532030329,,,,1150.299704,,,5.356414043,,,11.96438
0.782198174,1.631829906,,,,,,,6.242188842,,,11.99996
0.818297416,1.66719,,,,,,,6.242188842,,,12.07558
0.842333075,1.722565965,,,,,,,6.939880416,,,12.72451
0.867783098,1.803445436,,,,,,,9.571160808,,,13.40627
0.911477144,1.9,,,,,,,10.12338067,,,14.00708
1.276695386,2.188578452,,,,,,,11.81575,,,14.98546505
1.338379266,2.363384631,,,,,,,21.71016364,,,15.63915
1.338379266,2.428456575,,,,,,,25.97892,,,15.82215
1.338379266,2.44181,,,,,,,27.2501,,,17.18609
1.3982,2.50968,,,,,,,33.40989,,,17.72856
1.50577,2.75838,,,,,,,39.23452969,,,21.99999
1.59057,2.78764,,,,,,,52.13984232,,,23.74741572
1.603692998,2.96727,,,,,,,1150.299704,,,29.35266
1.694475996,3.00999,,,,,,,,,,35.07051
1.87703,3.030065726,,,,,,,,,,38.80437
2.130027625,3.214803215,,,,,,,,,,43.25039
2.55031612,3.27081,,,,,,,,,,50.51750033
2.68539,3.450697331,,,,,,,,,,50.57792
2.880539228,3.457768049,,,,,,,,,,52.39999
3.015814667,3.7755,,,,,,,,,,52.59169
3.015814667,3.8,,,,,,,,,,54.83919108
3.424313555,3.8,,,,,,,,,,55.46446
3.495326036,3.922317946,,,,,,,,,,56.1752
4.01201,3.94901,,,,,,,,,,63.36998
4.49997,4.1162,,,,,,,,,,69.06379
4.56788,4.13499,,,,,,,,,,75.60752
4.665504805,4.3758,,,,,,,,,,79.13217
4.954618261,4.434010457,,,,,,,,,,82.49999
5.356414043,4.57045225,,,,,,,,,,94.32039
6.067444033,4.8,,,,,,,,,,136.00033
6.067444033,6.32454,,,,,,,,,,158.62393
