No.,Collection,Clade,Terrestriality,BM Category,Scientific Name,Sex,C&E Measured,BM.log,Mean CSA,Min CSA,Max CSA,Mean LCSA,Min LCSA,Max LCSA,Mean DCSA,Min DCSA,Max DCSA,BM.g
8810,ROMV,Reptilia,Terrestrial,10-100 g,Phrynosoma platyrhinos,M,N,1.071882007,-0.553909628,-0.618884919,-0.496890563,-0.347431363,-0.387640052,-0.30980392,-0.753364664,-0.863596552,-0.683977207,11.79999999
7460,ROMV,Reptilia,Semiaquatic,0.1-1 kg,Physignathus cocincinus,F,Y,2.413299764,0.292395188,0.177478783,0.455773409,0.453544289,0.316724984,0.51535715,0.137512353,0.008642748,0.455773409,259
7400,ROMV,Reptilia,Terrestrial,0.1-1 kg,Pogona vitticeps,F,Y,2.7084209,0.417423577,0.278181785,0.467089899,0.634141358,0.450618563,0.712051714,0.207218706,0.08278537,0.450618563,510.9999998
8151,ROMV,Reptilia,Terrestrial,<10 g,Pristurus carteri,F,N,0.612783857,-0.788697725,-0.869666232,-0.673920284,-0.682790084,-0.863596552,-0.495903104,-0.890070827,-1.045757491,-0.733063089,4.100000003
7510,ROMV,Reptilia,Terrestrial,10-100 g,Rachodactylus auriculatus,F,N,1.579783597,-0.263023166,-0.349182699,-0.053744293,-0.197468282,-0.291387916,-0.053744293,-0.326322067,-0.465688268,-0.053744293,38.00000003
7513,ROMV,Reptilia,Terrestrial,10-100 g,Rachodactylus ciliatus,M,N,1.462397998,-0.308066258,-0.380802284,-0.120961495,-0.183539776,-0.279323987,-0.081917215,-0.429454141,-0.53521248,-0.120961495,29.00000001
9335,ROMV,Reptilia,Terrestrial,0.1-1 kg,Sauromalus obesus,M,N,2.806179974,0.577384159,0.496763644,0.664590271,0.66630637,0.557507202,0.712051714,0.491810738,0.352182518,0.617128827,640
8788,ROMV,Reptilia,Terrestrial,<10 g,Sceloporus undulatus,M,N,0.838849091,-0.86099285,-0.900319359,-0.790484985,-0.769891835,-0.887394998,-0.693574972,-0.944016779,-1.060355968,-0.863596552,6.900000004
8422,ROMV,Reptilia,Terrestrial,0.1-1 kg,Tiliqua scincoides,F,N,2.878521796,0.548826687,0.504613565,0.580340394,0.763448515,0.690747461,0.809667433,0.333644526,0.276605396,0.383460787,756.0000009
8242,ROMV,Reptilia,Terrestrial,10-100 g,Tribolonotus gracilis,M,N,1.57054294,-0.348753147,-0.428174751,-0.274741934,-0.186924092,-0.238372815,-0.125967785,-0.514872705,-0.683977207,-0.387640052,37.20000001
8380,ROMV,Reptilia,Terrestrial,1-10 kg,Tupinambis teguixin,M,Y,3.08170727,0.79731083,0.748188027,0.843544212,0.941072766,0.894316063,0.982723388,0.658810751,0.557507202,0.723455672,1207
8383,ROMV,Reptilia,Terrestrial,0.1-1 kg,Uromastyx aegypticus,M,N,2.193124598,0.530427035,0.471951455,0.749496692,0.801262467,0.749496692,0.821554467,0.280886858,0.140075733,0.749496692,155.9999999
8382,ROMV,Reptilia,Terrestrial,10-100 g,Uromastyx geyri,F,N,1.991226076,0.257225978,0.086422123,0.400058533,0.510782081,0.400058533,0.557507202,0.015344617,-0.249877473,0.400058533,98.00000007
8233,ROMV,Reptilia,Terrestrial,0.1-1 kg,Uromastyx maliensis,M,N,2.250420002,0.446341594,0.333124709,0.568861468,0.673151333,0.564337557,0.734711842,0.230469145,0.090645958,0.568861468,177.9999999
8243,ROMV,Reptilia,Terrestrial,1-10 kg,Varanus albigularis ionidesi,F,Y,3.13289977,1.218179903,1.161285628,1.25266253,1.516588741,1.480725379,1.542439804,0.918693959,0.821554467,0.965747167,1358
7483,ROMV,Reptilia,Terrestrial,0.1-1 kg,Varanus beccarii,M,Y,2.123851641,0.251828867,0.119123865,0.317148893,0.579844002,0.460897843,0.614992076,-0.082158903,-0.30980392,0.021447731,133
7937,ROMV,Reptilia,Terrestrial,0.1-1 kg,Varanus dumerili,M,N,2.507855872,0.817719114,0.785240831,0.857264633,1.092159875,1.03702788,1.139917636,0.545883113,0.481098497,0.608550101,322.0000002
8034,ROMV,Reptilia,Terrestrial,1-10 kg,Varanus exanthematicus,M,Y,3.704407927,1.475298828,1.410481981,1.524298736,1.673525191,1.619119429,1.732574678,1.290019145,1.124585729,1.371483477,5062.999995
7950,ROMV,Reptilia,Terrestrial,1-10 kg,Varanus jobiensis,M,Y,3.041392685,0.908866869,0.846337112,0.95568775,1.209840422,1.159567193,1.266936911,0.605984463,0.51054501,0.66487692,1100
7565,ROMV,Reptilia,Terrestrial,10-100 kg,Varanus komodoensis,F,N,4.653212514,2.002379375,1.940117867,2.051480532,2.18908239,2.136371723,2.234542591,1.820271849,1.714664993,1.903646071,45000.00002
7287,ROMV,Reptilia,Terrestrial,1-10 kg,Varanus niloticus,M,Y,3.936764998,1.484979228,1.325823419,1.544502122,1.717659608,1.563510749,1.778603405,1.256568856,1.088136089,1.362482475,8645.000008
9252,ROMV,Reptilia,Terrestrial,0.1-1 kg,Varanus ornatus,,N,2.472756449,0.511699749,0.456362237,0.558306482,0.829380208,0.778332169,0.861117539,0.196143274,0.094549735,0.298438225,296.9999998
8381,ROMV,Reptilia,Terrestrial,0.1-1 kg,Varanus prasinus,M,N,2.06069784,0.243661124,0.167981563,0.275754639,0.615043261,0.580069223,0.648564911,-0.131925424,-0.244106097,-0.086702842,114.9999999
7926,ROMV,Reptilia,Semiaquatic,1-10 kg,Varanus salvadorii,F,Y,3.684755622,1.147254962,1.042378598,1.214512705,1.461734283,1.344195716,1.563510749,0.83718245,0.704365036,0.954242509,4838.999999
9814,ROMV,Lissamphibia,Semiaquatic,<10 g,Ambystoma maculatum,,N,0.977723605,-0.432549299,-0.482012797,-0.384576047,-0.442907612,-0.551448261,-0.3675174,-0.417929058,-0.576385542,-0.328618857,9.499999994
7713,ROMV,Lissamphibia,Semiaquatic,10-100 g,Ambystoma tigrinum,F,Y,1.770852012,0.127321197,0.05415324,0.203936726,0.132662707,0.086724556,0.224539537,0.131929146,-0.035457534,0.214419939,59.00000005
521306,USNM,Lissamphibia,Semiaquatic,0.1-1 kg,Cryptobranchus allaganiensis,,N,2.770852012,0.819235826,0.920291635,0.732845914,0.819235826,0.920291635,0.732845914,0.819235826,0.920291635,0.732845914,590.0000005
