Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Morawhanna
0.252348077,0.078310934,1150.299704,0.358109679,0.842333075,0.123642655,,4.000602196,,0.048296756,0.388353469,54.83919108,0.170867252,,,,0.168845588,0.085499859,0.298608391,,,
0.252348077,0.105092827,,0.391371556,1.603692998,0.228192923,,42.12901091,,0.058806142,0.471795117,,0.185511054,,,,0.176460849,0.098836648,0.330952124,,,
0.283791903,0.10694266,,0.415337939,1.603692998,0.283791903,,58.70187374,,0.060609805,0.717116027,,0.186226373,,,,0.178224527,0.098836648,0.341663693,,,
0.283791903,0.10694266,,0.681263559,1.694475996,0.358109679,,,,0.092820147,0.789084908,,0.206939808,,,,0.179554264,0.101194927,0.384761122,,,
0.286864233,0.10694266,,0.867783098,2.130027625,0.391371556,,,,0.117178024,0.965457752,,0.228192923,,,,0.1796008,0.1057687,0.4698665,,,
0.358109679,0.123642655,,0.911477144,2.55031612,0.391371556,,,,0.132678218,2.290032263,,0.315089693,,,,0.18538581,0.107406796,0.557489413,,,
0.391371556,0.147481518,,1.603692998,2.880539228,0.544139158,,,,0.163493069,2.405106273,,0.386880972,,,,0.203084099,0.110047119,0.72894123,,,
0.549540874,0.15651283,,3.015814667,6.067444033,0.681263559,,,,0.179156303,3.122264779,,0.391371556,,,,0.204843879,0.112690354,0.828281715,,,
0.567192111,0.168245748,,4.352006737,10.12338067,0.782198174,,,,0.188166198,14.98546505,,0.965457752,,,,0.228192923,0.120207737,0.918737436,,,
0.681263559,0.184497846,,6.067444033,21.71016364,0.818297416,,,,0.215059013,591.3955721,,3.122264779,,,,0.267795725,0.13352018,1.117002973,,,
0.782198174,0.185511054,,6.242188842,1150.299704,0.842333075,,,,0.222063538,,,8.213573636,,,,0.298608391,0.139159931,1.245615257,,,
0.867783098,0.228192923,,6.939880416,,0.867783098,,,,0.228192923,,,9.995929559,,,,0.330952124,0.141817515,1.722565965,,,
0.911477144,0.236290414,,9.571160808,,0.911477144,,,,0.252348077,,,,,,,0.340121195,0.147154249,1.803445436,,,
1.338379266,0.252348077,,39.23452969,,1.603692998,,,,0.252348077,,,,,,,0.341663693,0.168655303,2.188578452,,,
1.338379266,0.252348077,,1150.299704,,2.880539228,,,,0.283791903,,,,,,,0.353744275,0.168845588,2.363384631,,,
1.603692998,0.252348077,,,,3.495326036,,,,0.333417396,,,,,,,0.384761122,0.176460849,3.922317946,,,
2.880539228,0.252348077,,,,6.067444033,,,,0.43747851,,,,,,,0.418506407,0.178224527,4.434010457,,,
3.495326036,0.283791903,,,,6.939880416,,,,0.480839348,,,,,,,0.4698665,0.179554264,8.220684806,,,
4.352006737,0.297492816,,,,9.571160808,,,,0.5735286,,,,,,,0.51584565,0.1796008,19.99888542,,,
6.067444033,0.300695682,,,,10.12338067,,,,0.681263559,,,,,,,0.555454227,0.180889992,46.22003451,,,
6.242188842,0.312569834,,,,21.71016364,,,,0.867783098,,,,,,,0.557489413,0.18538581,73.38140621,,,
6.939880416,0.317418469,,,,21.71016364,,,,1.152032455,,,,,,,0.681263559,0.200224519,345.1437393,,,
9.571160808,0.327937141,,,,26.30015718,,,,1.169334739,,,,,,,0.72894123,0.203084099,,,,
10.12338067,0.358109679,,,,1150.299704,,,,3.454073295,,,,,,,0.828281715,0.218752403,,,,
39.23452969,0.391371556,,,,,,,,4.352006737,,,,,,,0.871589896,0.228192923,,,,
1150.299704,0.391371556,,,,,,,,4.665504805,,,,,,,1.106665658,0.251140895,,,,
,0.415337939,,,,,,,,5.852720963,,,,,,,1.245615257,0.267795725,,,,
,0.415337939,,,,,,,,160.2577315,,,,,,,1.387498697,0.277521674,,,,
,0.42223659,,,,,,,,,,,,,,,1.532030329,0.298608391,,,,
,0.474527787,,,,,,,,,,,,,,,1.722565965,0.330952124,,,,
,0.474527787,,,,,,,,,,,,,,,1.803445436,0.340121195,,,,
,0.549540874,,,,,,,,,,,,,,,2.363384631,0.341663693,,,,
,0.567192111,,,,,,,,,,,,,,,2.428456575,0.350929995,,,,
,0.669655841,,,,,,,,,,,,,,,3.030065726,0.353744275,,,,
,0.669655841,,,,,,,,,,,,,,,3.214803215,0.384761122,,,,
,0.681263559,,,,,,,,,,,,,,,3.922317946,0.38967372,,,,
,0.782198174,,,,,,,,,,,,,,,4.434010457,0.418506407,,,,
,0.818297416,,,,,,,,,,,,,,,4.57045225,0.4698665,,,,
,0.842333075,,,,,,,,,,,,,,,6.584406955,0.496790885,,,,
,0.867783098,,,,,,,,,,,,,,,8.220684806,0.51584565,,,,
,0.911477144,,,,,,,,,,,,,,,11.1551513,0.555454227,,,,
,1.338379266,,,,,,,,,,,,,,,13.58501871,0.557489413,,,,
,1.338379266,,,,,,,,,,,,,,,19.99888542,0.72894123,,,,
,1.338379266,,,,,,,,,,,,,,,21.66907022,0.828281715,,,,
,1.603692998,,,,,,,,,,,,,,,35.28376647,0.871589896,,,,
,2.880539228,,,,,,,,,,,,,,,46.22003451,0.918737436,,,,
,3.495326036,,,,,,,,,,,,,,,73.38140621,1.082321643,,,,
,4.352006737,,,,,,,,,,,,,,,883.39781,1.117002973,,,,
,4.665504805,,,,,,,,,,,,,,,,1.340517994,,,,
,5.356414043,,,,,,,,,,,,,,,,1.365424355,,,,
,6.067444033,,,,,,,,,,,,,,,,1.387498697,,,,
,6.242188842,,,,,,,,,,,,,,,,1.532030329,,,,
,6.939880416,,,,,,,,,,,,,,,,1.631829906,,,,
,9.571160808,,,,,,,,,,,,,,,,1.722565965,,,,
,10.12338067,,,,,,,,,,,,,,,,1.803445436,,,,
,21.71016364,,,,,,,,,,,,,,,,2.188578452,,,,
,39.23452969,,,,,,,,,,,,,,,,2.363384631,,,,
,1150.299704,,,,,,,,,,,,,,,,2.882989031,,,,
,,,,,,,,,,,,,,,,,3.030065726,,,,
,,,,,,,,,,,,,,,,,3.457768049,,,,
,,,,,,,,,,,,,,,,,3.922317946,,,,
,,,,,,,,,,,,,,,,,4.434010457,,,,
,,,,,,,,,,,,,,,,,4.57045225,,,,
,,,,,,,,,,,,,,,,,8.220684806,,,,
,,,,,,,,,,,,,,,,,21.66907022,,,,
,,,,,,,,,,,,,,,,,32.22328853,,,,
,,,,,,,,,,,,,,,,,35.28376647,,,,
,,,,,,,,,,,,,,,,,46.22003451,,,,
,,,,,,,,,,,,,,,,,73.38140621,,,,
,,,,,,,,,,,,,,,,,78.31590231,,,,
,,,,,,,,,,,,,,,,,345.1437393,,,,
