Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
0.47092,0.669655841,0.035657357,0.236290414,0.12076,,0.283791903,0.071910173,0.15048,,0.060609805,3.69599,0.28183,0.038786112,0.13813151,0.066518964,0.014699308,0.003318378,0.27737,0.54056,8.17255,4.8,3.922317946,0.098836648,0.003902507,
0.391371556,0.669655841,0.025201143,0.228192923,0.10694266,,0.228192923,0.06380393,0.142515767,,0.058806142,3.60016,0.252348077,0.036268171,0.137543685,0.06272,0.014257562,0.002660158,0.25,0.384761122,8.17255,4.57045225,3.7755,0.098836648,0.003712989,
0.358109679,0.64442,0.022757955,0.221120956,0.10694266,,0.19265,0.054368145,0.122324396,,0.05063,3.122264779,0.228192923,0.036041395,0.117696449,0.06272,0.009603511,0.002370997,0.195338046,0.340121195,6.93172,4.434010457,3.27081,0.077785303,0.003143681,
0.286864233,0.62617,0.018606407,0.215059013,0.073792132,,0.19265,0.038786112,0.11929,,0.048296756,2.405106273,0.186226373,0.031944073,0.1,0.04365,0.007792369,,0.18460153,0.298608391,6.875,4.3758,2.75838,0.071267129,0.00255346,
0.283791903,0.567192111,0.015319658,0.20089,0.07129,,0.16929,0.0278332,0.113879497,,0.046415401,2.290032263,0.176788057,0.026977394,0.033415845,0.04185,0.005095128,,0.167152092,0.228192923,6.6465,4.13499,2.44181,0.051044746,0.001772886,
0.283791903,0.549540874,0.014844094,0.16929,0.035657357,,0.14648,0.02676,0.109730499,,0.04546,1.95,0.13813151,0.0265,0.026897855,0.0193,0.004136665,,0.143639842,0.18538581,6.584406955,3.922317946,2.363384631,0.043458423,0.001772886,
0.252348077,0.474527787,0.01384,0.1575,0.027807273,,0.123642655,0.007556618,0.105936994,,0.034764409,1.72213,0.132678218,0.025744592,0.016553353,0.014257562,0.002340511,,0.14099,0.178224527,6.55497,3.7755,2.188578452,0.022261116,,
0.252348077,0.474527787,0.012,0.12076,0.027807273,,0.12076,,0.101536307,,0.034764409,0.965457752,0.123,0.021271317,0.014257562,0.00823,0.002077012,,0.12775,0.17734,6.39831,3.457768049,1.803445436,0.02223073,,
0.23,0.42223659,0.011041534,0.117178024,0.027807273,,0.084856742,,0.06380393,,0.032042473,0.81117,0.117219537,0.0158,0.011795142,0.007777069,0.001307591,,0.117696449,0.176460849,6.32454,3.27081,1.722565965,0.010698036,,
0.228192923,0.415337939,0.010324185,0.07129,0.025201143,,0.07129,,0.054573189,,0.022757955,0.789084908,0.1043,0.011738987,0.005359132,0.001307591,,,0.11445,0.168845588,4.8,3.030065726,1.66719,0.003902507,,
0.215059013,0.415337939,0.010298944,0.0712,0.018606407,,0.059848462,,0.054368145,,0.021822883,0.717116027,0.103357494,0.011334731,0.004237699,,,,0.11166527,0.147154249,4.57045225,3.00999,1.245615257,0.00255346,,
0.20089,0.391371556,0.00856,0.07,0.015319658,,0.047579601,,0.047391879,,0.021527817,0.471795117,0.066518964,0.010569006,,,,,0.109730499,0.112690354,4.434010457,2.882989031,1.13475,,,
0.16929,0.391371556,0.004970238,0.035657357,0.014844094,,0.0452,,0.032042473,,0.018428542,0.388353469,0.06380393,0.007777069,,,,,0.10931,0.110047119,4.3758,2.78764,1.117002973,,,
0.1575,0.358109679,0.004237699,0.03524,0.012,,0.044250933,,0.0278332,,0.01444,0.315089693,0.042403717,0.006410727,,,,,0.105678505,0.101194927,4.13499,2.75838,1,,,
0.123642655,0.327937141,0.003123425,0.025201143,0.011041534,,0.039573781,,0.027179543,,0.010473156,0.28183,0.04116,0.006163644,,,,,0.1,0.051044746,4.1162,2.75838,0.918737436,,,
0.12076,0.317418469,0.003123425,0.022757955,0.010298944,,0.03873,,0.012578171,,0.010298944,0.251402907,0.034764409,0.005422525,,,,,0.099278523,0.050534882,3.94901,2.44181,0.9124,,,
0.10694266,0.312569834,0.002970874,0.021822883,0.00856,,0.03234,,0.012116006,,0.010056292,0.186226373,0.031944073,0.005034531,,,,,0.08984,0.03491,3.922317946,2.363384631,0.828281715,,,
0.09021863,0.300695682,0.001754062,0.021527817,0.008503013,,0.027329601,,0.007341543,,0.009492126,0.170867252,0.014257562,0.004441028,,,,,0.081290829,0.031944073,3.7755,2.188578452,0.74947,,,
0.07129,0.297492816,0.001314835,0.021527817,0.007792369,,0.02356,,0.00670928,,0.008503013,0.13813151,0.013,0.003759386,,,,,0.07095,0.028434799,3.27081,1.9,0.72894123,,,
