AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Taman,TanaRiver
0.358109679,0.47159309,,,,,1150.299704,6.242188842,,75.60752
0.391371556,0.496790885,,,,,,6.939880416,,79.13217
0.391371556,0.51584565,,,,,,9.571160808,,82.49999
0.436941326,0.54056,,,,,,10.12338067,,94.32039
0.47092,0.555454227,,,,,,11.81575,,136.00033
0.544139158,0.557489413,,,,,,21.71016364,,158.62393
0.549540874,0.60999,,,,,,25.97892,,160.93786
0.62617,0.72894123,,,,,,27.2501,,200.57652
0.681263559,0.74947,,,,,,39.23452969,,204.39348
0.71649,0.828281715,,,,,,52.13984232,,400
0.782198174,0.871589896,,,,,,1150.299704,,408.00035
0.818297416,0.918737436,,,,,,,,562.59269
0.842333075,0.95487,,,,,,,,591.3955721
0.867783098,0.97433,,,,,,,,592.66598
0.911477144,1.03047,,,,,,,,964.65473
1.276695386,1.106665658,,,,,,,,1536.3104
1.338379266,1.13475,,,,,,,,3824.53993
1.3982,1.245615257,,,,,,,,
1.50577,1.340517994,,,,,,,,
1.59057,1.365424355,,,,,,,,
1.603692998,1.532030329,,,,,,,,
1.694475996,1.631829906,,,,,,,,
1.87703,1.66719,,,,,,,,
2.130027625,1.722565965,,,,,,,,
2.55031612,1.803445436,,,,,,,,
2.68539,1.9,,,,,,,,
2.880539228,2.188578452,,,,,,,,
3.015814667,2.363384631,,,,,,,,
3.015814667,2.428456575,,,,,,,,
3.424313555,2.44181,,,,,,,,
3.495326036,2.75838,,,,,,,,
4.01201,2.78764,,,,,,,,
4.49997,3.00999,,,,,,,,
4.56788,3.030065726,,,,,,,,
4.665504805,3.214803215,,,,,,,,
4.954618261,3.27081,,,,,,,,
5.356414043,3.457768049,,,,,,,,
6.067444033,3.7755,,,,,,,,
6.067444033,3.8,,,,,,,,
6.242188842,3.8,,,,,,,,
6.49473,3.922317946,,,,,,,,
6.939880416,3.94901,,,,,,,,
9.571160808,4.1162,,,,,,,,
10.12338067,4.13499,,,,,,,,
11.81575,4.3758,,,,,,,,
17,4.434010457,,,,,,,,
21.71016364,4.57045225,,,,,,,,
21.71016364,4.8,,,,,,,,
25.97892,6.32454,,,,,,,,
26.30015718,6.39831,,,,,,,,
27.2501,6.55497,,,,,,,,
52.13984232,6.584406955,,,,,,,,
1150.299704,6.6465,,,,,,,,
,6.875,,,,,,,,
,6.93172,,,,,,,,
,8.17255,,,,,,,,
,8.220684806,,,,,,,,
,8.69725,,,,,,,,
,9.70283,,,,,,,,
,11.88,,,,,,,,
,12.02237757,,,,,,,,
,16.63317,,,,,,,,
,19.99888542,,,,,,,,
,20.54686,,,,,,,,
,21.13369,,,,,,,,
,21.66907022,,,,,,,,
,26,,,,,,,,
,29.53183,,,,,,,,
,31.79871,,,,,,,,
,35.28376647,,,,,,,,
,40.64189,,,,,,,,
,46.22003451,,,,,,,,
,48.14491,,,,,,,,
,53.95405,,,,,,,,
,73.38140621,,,,,,,,
,75.90125,,,,,,,,
,78.31590231,,,,,,,,
,83.94309,,,,,,,,
,169.49664,,,,,,,,
,345.1437393,,,,,,,,
,883.39781,,,,,,,,
